#x[px], y[px], z[px], A
5.811016e+01, 7.967316e+01, 2.871450e+00, 3.034303e+03 
8.754830e+01, 3.464816e+01, 2.717571e+00, 1.552535e+04 
8.770327e+01, 7.435359e+01, 2.871238e+00, 2.704786e+03 
1.252094e+01, 8.498847e+01, 3.528003e+00, 2.161334e+03 
4.711579e+01, 9.431257e+01, 4.729069e+00, 6.618319e+03 
8.583557e+01, 5.009894e+01, 2.940984e+00, 8.855642e+03 
8.836383e+01, 9.138740e+01, 2.626998e+00, 4.048092e+03 
9.487046e+01, 6.782370e+00, 4.057566e+00, 2.369804e+03 
7.884351e+01, 3.478145e+01, 4.871700e+00, 4.937484e+03 
8.260169e+01, 2.572263e+01, 6.396316e+00, 2.465733e+03 
5.467976e+01, 8.491011e+01, 5.964540e+00, 2.235860e+03 
5.427675e+01, 1.020832e+01, 4.464136e+00, 2.365378e+03 
6.120779e+01, 9.106536e+01, 6.133816e+00, 4.150617e+03 
6.403249e+01, 6.516401e+01, 7.816832e+00, 2.661369e+03 
7.072051e+01, 6.410895e+01, 6.224928e+00, 3.464523e+03 
7.860218e+01, 6.673926e+01, 6.059234e+00, 7.930339e+03 
9.042040e+01, 3.434692e+01, 4.121112e+00, 4.495325e+03 
9.433620e+01, 1.276693e+01, 6.361406e+00, 7.403447e+03 
3.657953e+01, 9.103537e+01, 6.374336e+00, 2.243712e+03 
5.874066e+01, 2.720098e+01, 6.752598e+00, 2.559574e+03 
6.572414e+01, 3.488990e+01, 8.954018e+00, 2.432212e+03 
6.594721e+01, 5.579761e+01, 9.076024e+00, 2.063347e+03 
7.470104e+01, 2.484025e+01, 8.761798e+00, 2.028989e+03 
7.407939e+01, 9.158921e+01, 7.532609e+00, 2.024119e+04 
7.327964e+01, 1.808461e+01, 9.805238e+00, 2.128019e+03 
7.590331e+01, 4.186697e+01, 8.366662e+00, 4.005722e+03 
8.013695e+01, 8.198107e+01, 7.221334e+00, 8.693033e+03 
8.094557e+01, 7.382918e+01, 7.529888e+00, 2.153647e+03 
8.227091e+01, 1.606580e+01, 7.992291e+00, 2.344888e+03 
9.348265e+01, 8.522932e+01, 7.559532e+00, 2.397750e+03 
4.959021e+01, 9.245692e+01, 8.800513e+00, 1.016004e+04 
6.131953e+01, 2.190927e+01, 9.255059e+00, 2.632971e+03 
6.142331e+01, 7.518456e+01, 8.695785e+00, 2.179329e+03 
7.938780e+01, 3.451016e+01, 7.762380e+00, 4.475642e+03 
8.068549e+01, 9.506360e+01, 9.119269e+00, 1.233798e+04 
8.750858e+01, 8.131180e+01, 9.080103e+00, 4.346202e+03 
9.170808e+01, 2.210739e+01, 8.983508e+00, 7.418261e+03 
6.349547e+01, 8.398625e+01, 1.016463e+01, 3.295660e+03 
6.840813e+01, 1.989267e+01, 1.025930e+01, 2.208207e+03 
8.424277e+01, 7.315639e+01, 9.616351e+00, 2.459960e+03 
8.572782e+01, 1.220624e+01, 1.029496e+01, 2.833243e+03 
9.771215e+01, 9.163863e+01, 1.071577e+01, 2.097150e+03 
5.985123e+01, 4.032358e+00, 1.054937e+01, 2.596974e+03 
6.097217e+01, 9.206263e+01, 1.050988e+01, 3.649594e+03 
7.673474e+01, 5.220540e+01, 1.032440e+01, 8.038235e+03 
8.125704e+01, 5.934580e+01, 1.077042e+01, 2.058602e+03 
6.744289e+01, 4.891358e+01, 1.187166e+01, 2.302364e+03 
6.751705e+01, 3.186395e+01, 1.204595e+01, 3.711287e+03 
8.522913e+01, 9.311639e+01, 1.098640e+01, 2.212613e+03 
2.664876e+01, 7.961442e+01, 1.510696e+01, 2.283645e+03 
4.764176e+01, 2.803269e+01, 1.345829e+01, 2.301149e+03 
6.719777e+01, 3.759911e+01, 1.276200e+01, 4.709300e+03 
5.306259e+01, 2.759098e+00, 1.651461e+01, 2.156825e+03 
6.477555e+01, 6.533255e+01, 1.257065e+01, 2.818729e+03 
9.250358e+01, 6.025111e+00, 1.356824e+01, 2.411690e+03 
5.471151e+01, 9.648817e+01, 1.552690e+01, 6.384235e+03 
5.746462e+01, 8.345009e+01, 1.517657e+01, 2.328479e+03 
6.327133e+01, 9.812831e+01, 1.458656e+01, 3.429040e+03 
8.026341e+01, 6.118912e+01, 1.508483e+01, 2.127463e+03 
9.410857e+01, 9.387023e+01, 1.589114e+01, 2.947113e+03 
5.413196e+01, 4.837882e+01, 1.549231e+01, 2.092601e+03 
7.491699e+01, 8.239511e+01, 1.611521e+01, 5.986852e+03 
4.018041e+01, 9.677654e+01, 1.698374e+01, 2.273885e+03 
6.695094e+01, 3.192676e+01, 1.503969e+01, 2.164797e+03 
8.176683e+01, 2.589156e+01, 1.783365e+01, 3.260092e+03 
8.136419e+01, 8.817865e+01, 1.641931e+01, 2.349494e+03 
8.351171e+01, 2.617961e+01, 1.760676e+01, 3.651884e+03 
7.754724e+00, 9.694196e+01, 1.784795e+01, 2.664437e+03 
4.866180e+01, 2.778099e+01, 1.809140e+01, 2.115680e+03 
6.647256e+01, 7.179758e+01, 1.879377e+01, 2.485414e+03 
7.558970e+01, 6.922451e+01, 1.765099e+01, 1.900950e+04 
8.686702e+01, 8.786231e+00, 1.944185e+01, 2.381784e+03 
3.473100e+01, 3.022247e+01, 1.965159e+01, 2.507326e+03 
6.872550e+01, 8.727621e+01, 1.848496e+01, 1.736982e+04 
7.228467e+01, 5.968858e+01, 2.073696e+01, 2.246325e+03 
8.139720e+01, 7.729215e+01, 1.876247e+01, 2.421150e+03 
8.422749e+01, 3.075569e+00, 1.893679e+01, 2.257103e+03 
4.524612e+01, 4.204080e+01, 2.183904e+01, 2.468997e+03 
5.591206e+01, 7.729856e+00, 2.000180e+01, 4.619642e+03 
5.916614e+01, 2.569033e+01, 2.094044e+01, 1.273035e+04 
7.769538e+01, 4.452939e+01, 2.011337e+01, 4.256781e+03 
8.719983e+01, 8.119518e+01, 1.903906e+01, 2.398046e+03 
3.723953e+01, 2.335924e+01, 2.172009e+01, 2.073306e+03 
4.931152e+01, 9.166188e+01, 2.094765e+01, 4.075409e+03 
5.595989e+01, 2.602021e+01, 2.147387e+01, 9.870587e+03 
7.071072e+01, 9.747197e+01, 2.075410e+01, 9.195765e+03 
9.326395e+01, 8.775670e+01, 2.047088e+01, 3.868996e+03 
1.577883e+01, 7.588953e+01, 2.190496e+01, 2.472903e+03 
6.694854e+01, 7.103889e+01, 2.132303e+01, 2.185094e+03 
6.808999e+01, 2.716635e+01, 2.273691e+01, 4.963613e+03 
7.616429e+01, 8.757547e+01, 2.239396e+01, 3.234990e+03 
8.286428e+01, 2.566567e+01, 2.023831e+01, 2.670897e+03 
8.663608e+01, 1.178497e+01, 2.099612e+01, 2.031812e+03 
8.839763e+01, 7.528976e+00, 2.147864e+01, 2.101007e+03 
4.980319e+01, 2.237202e+01, 2.331401e+01, 5.546626e+03 
5.490017e+01, 3.249263e+01, 2.359140e+01, 2.261502e+04 
5.825596e+01, 7.394936e+01, 2.377511e+01, 3.521996e+03 
5.920845e+01, 2.209327e+01, 2.308700e+01, 1.291339e+04 
7.193553e+01, 5.946996e+01, 2.273766e+01, 2.104261e+03 
7.693949e+01, 8.672024e+00, 2.419938e+01, 2.572868e+03 
8.576966e+01, 6.636949e+01, 2.282183e+01, 2.166414e+03 
5.370657e+01, 1.449496e+01, 2.458554e+01, 8.274000e+03 
8.683147e+01, 2.149582e+01, 2.336200e+01, 2.074112e+03 
2.643449e+00, 4.711064e+01, 2.517532e+01, 3.590478e+03 
3.878239e+01, 8.737000e+01, 2.535077e+01, 2.131413e+03 
5.548865e+01, 1.424998e+01, 2.507211e+01, 6.760908e+03 
5.728765e+01, 4.569250e+01, 2.568722e+01, 2.688652e+03 
6.391277e+01, 9.054716e+01, 2.536780e+01, 3.434823e+03 
6.568244e+01, 8.768019e+00, 2.460016e+01, 2.758720e+03 
6.775972e+01, 7.318252e+01, 2.524334e+01, 2.409401e+03 
7.516261e+01, 3.508887e+01, 2.465095e+01, 2.039504e+03 
7.681389e+01, 3.292467e+01, 2.527646e+01, 2.112085e+03 
8.105244e+01, 1.582844e+01, 2.519520e+01, 8.208908e+03 
4.473438e+01, 4.095508e+01, 2.489948e+01, 2.313729e+03 
5.322527e+01, 7.831043e+01, 2.562684e+01, 3.037855e+03 
6.012098e+01, 3.373289e+01, 2.510089e+01, 9.611853e+03 
6.310737e+01, 1.241061e+01, 2.537210e+01, 2.286154e+03 
7.903480e+01, 5.759180e+01, 2.601578e+01, 1.255500e+04 
7.855722e+01, 9.873308e+01, 2.520536e+01, 6.474207e+03 
8.235318e+01, 8.289448e+01, 2.712708e+01, 3.211753e+03 
2.800894e+01, 4.481379e+00, 2.837201e+01, 2.050601e+03 
4.754715e+01, 5.318959e+01, 2.739762e+01, 2.385267e+03 
5.329491e+01, 3.735641e+01, 2.692811e+01, 1.032134e+04 
5.624626e+01, 9.224394e+01, 2.657457e+01, 6.882889e+03 
2.748795e+01, 8.518918e+01, 2.929901e+01, 2.407936e+03 
4.015832e+01, 9.845799e+01, 2.803034e+01, 2.628380e+03 
4.997186e+01, 2.421076e+01, 2.540490e+01, 3.358827e+03 
4.736204e+01, 9.252814e+01, 2.908072e+01, 2.448177e+03 
6.358221e+01, 2.917920e+01, 2.780859e+01, 5.370399e+03 
6.630647e+01, 6.470984e+01, 2.872076e+01, 2.215431e+03 
6.742420e+01, 9.054782e+01, 2.790616e+01, 6.462924e+03 
7.732023e+01, 4.098933e+01, 2.679904e+01, 2.226460e+03 
8.774510e+01, 9.530248e+01, 2.830771e+01, 3.630125e+03 
3.131312e+00, 7.965652e+01, 2.965825e+01, 2.424839e+03 
1.872048e+01, 9.096114e+01, 3.079078e+01, 2.036876e+03 
7.434831e+01, 9.372434e+01, 2.879369e+01, 1.670543e+04 
7.445239e+01, 6.422118e+01, 3.158749e+01, 3.013858e+03 
7.793801e+01, 9.567315e+00, 2.792104e+01, 2.930127e+03 
7.978658e+01, 9.420006e+00, 2.874155e+01, 3.147132e+03 
9.736928e+01, 9.727873e+01, 2.911963e+01, 4.435931e+03 
6.493220e+00, 4.060436e+00, 3.036879e+01, 4.256181e+03 
1.172826e+01, 5.496524e+01, 3.104910e+01, 2.018147e+03 
1.255147e+01, 7.454504e+01, 3.193959e+01, 2.228089e+03 
4.858532e+01, 6.964295e+01, 3.037017e+01, 4.598334e+03 
5.055656e+01, 5.971098e+01, 3.045767e+01, 6.734719e+03 
5.822194e+01, 6.954647e+01, 2.964982e+01, 8.683383e+03 
6.969219e+01, 2.092727e+01, 3.017040e+01, 2.247419e+03 
7.881344e+01, 2.759348e+01, 3.042538e+01, 7.769165e+03 
9.228271e+01, 1.067744e+01, 3.128281e+01, 2.909961e+03 
1.210823e+01, 5.320557e+01, 3.099977e+01, 2.799223e+03 
3.462259e+01, 8.981093e+01, 3.106078e+01, 4.104128e+03 
5.713909e+01, 7.675062e+01, 3.045340e+01, 2.126220e+03 
6.261177e+01, 6.048428e+01, 3.182612e+01, 2.147828e+03 
7.135476e+01, 2.691528e+01, 3.112887e+01, 2.671130e+03 
7.506400e+01, 7.662274e+01, 3.197130e+01, 2.234257e+03 
8.114767e+01, 7.157312e+01, 3.186304e+01, 2.475073e+03 
8.146073e+01, 4.741727e+01, 3.253490e+01, 2.833227e+03 
1.401119e+01, 6.466776e+01, 3.245988e+01, 5.114661e+03 
1.845896e+01, 8.952675e+01, 3.227195e+01, 2.017779e+03 
2.706324e+01, 4.199200e+01, 3.328226e+01, 2.045323e+03 
3.844163e+01, 2.004853e+01, 3.276456e+01, 2.782971e+03 
5.661855e+01, 4.266252e+01, 3.192009e+01, 3.917715e+03 
6.036892e+01, 2.548835e+01, 3.285765e+01, 4.600947e+03 
8.077754e+01, 3.492140e+01, 3.151487e+01, 5.154120e+03 
8.714862e+01, 9.459149e+01, 3.067294e+01, 2.575878e+03 
4.558537e+00, 8.572370e+01, 3.279602e+01, 2.007645e+03 
1.295054e+01, 5.473881e+00, 3.365223e+01, 2.658216e+03 
1.671701e+01, 7.136129e+01, 3.312807e+01, 3.411290e+03 
2.102676e+01, 7.197867e+01, 3.381327e+01, 3.904877e+03 
2.904226e+01, 8.497709e+01, 3.318912e+01, 3.025047e+03 
5.368429e+01, 3.088716e+01, 3.305925e+01, 4.800470e+03 
6.186106e+01, 3.852957e+01, 3.143941e+01, 5.077680e+03 
6.938446e+01, 4.578309e+01, 3.527948e+01, 2.404221e+03 
7.288383e+01, 8.541562e+01, 3.299429e+01, 5.483717e+03 
7.405009e+01, 6.453495e+01, 3.404322e+01, 2.959100e+03 
8.265147e+01, 7.224727e+01, 3.255270e+01, 3.770904e+03 
8.333797e+01, 8.330956e+01, 3.362300e+01, 4.972366e+03 
3.988285e+00, 2.499286e+01, 3.463479e+01, 2.453967e+03 
7.603978e+00, 1.312591e+01, 3.436747e+01, 2.231755e+03 
2.205745e+01, 5.627617e+01, 3.393013e+01, 1.275202e+04 
2.496044e+01, 9.318221e+01, 3.482263e+01, 2.737738e+03 
3.056025e+01, 2.448410e+01, 3.537295e+01, 2.312226e+03 
3.133865e+01, 3.479099e+01, 3.401286e+01, 5.557655e+03 
3.811589e+01, 2.524678e+01, 3.382949e+01, 3.303777e+03 
4.637491e+01, 3.133761e+01, 3.375280e+01, 5.188336e+03 
5.439197e+01, 5.595586e+01, 3.395466e+01, 2.152417e+03 
5.868760e+01, 5.560087e+01, 3.377838e+01, 2.071857e+03 
7.266901e+01, 1.741640e+01, 3.436697e+01, 2.814640e+03 
1.867962e+01, 9.195008e+01, 3.475927e+01, 2.993804e+03 
1.929835e+01, 8.179765e+01, 3.499298e+01, 2.664694e+03 
2.512464e+01, 4.757317e+01, 3.553291e+01, 3.242499e+03 
3.133156e+01, 5.192533e+00, 3.561530e+01, 2.193231e+03 
3.547319e+01, 5.700005e+01, 3.514209e+01, 3.080176e+03 
3.880861e+01, 9.324559e+01, 3.456539e+01, 2.207515e+03 
4.848385e+01, 5.107437e+01, 3.506816e+01, 2.348063e+03 
5.287717e+01, 8.238142e+00, 3.585429e+01, 8.123720e+03 
5.423010e+01, 8.417713e+01, 3.528856e+01, 2.552501e+03 
5.852130e+01, 7.599133e+01, 3.526060e+01, 3.134009e+03 
7.608127e+01, 5.093756e+01, 3.473403e+01, 9.505405e+03 
8.860622e+01, 8.852967e+01, 3.520280e+01, 3.759662e+03 
9.445313e+01, 7.622522e+01, 3.507790e+01, 2.014289e+03 
1.635881e+01, 4.549420e+01, 3.593111e+01, 8.258028e+03 
2.250642e+01, 1.252682e+01, 3.643430e+01, 8.545266e+03 
2.904581e+01, 6.321608e+01, 3.645872e+01, 2.464395e+03 
5.167623e+01, 1.929333e+01, 3.680074e+01, 1.138390e+04 
5.645609e+01, 7.439913e+00, 3.653611e+01, 4.877339e+03 
5.961996e+01, 2.366311e+01, 3.503759e+01, 5.059463e+03 
6.696543e+01, 7.878707e+01, 3.610120e+01, 1.731297e+04 
7.610298e+01, 2.896120e+01, 3.539328e+01, 4.004164e+03 
7.589590e+01, 6.147292e+01, 3.566477e+01, 5.260147e+03 
8.483654e+00, 5.412709e+01, 3.883510e+01, 2.877219e+03 
2.197223e+01, 3.851402e+01, 3.734434e+01, 1.140059e+04 
3.409993e+01, 1.822559e+01, 3.684135e+01, 2.010777e+03 
7.128884e+01, 3.728446e+01, 3.636975e+01, 2.887425e+03 
7.318873e+01, 6.540627e+01, 3.529652e+01, 3.038067e+03 
7.321941e+01, 2.233005e+01, 3.667798e+01, 9.299670e+03 
8.243625e+01, 6.050036e+01, 3.815374e+01, 3.658435e+03 
8.384778e+01, 6.623079e+01, 3.744103e+01, 2.428140e+03 
8.600541e+01, 2.071472e+01, 3.673819e+01, 5.879541e+03 
8.747397e+01, 7.334115e+01, 3.727714e+01, 2.721588e+03 
9.519563e+01, 8.191046e+01, 3.671537e+01, 8.446337e+03 
1.301989e+01, 1.908132e+01, 3.819966e+01, 2.392502e+03 
1.628367e+01, 1.028296e+01, 3.711046e+01, 2.404739e+03 
2.492058e+01, 2.719437e+01, 3.870739e+01, 2.646123e+03 
3.370255e+01, 4.136778e+01, 3.790773e+01, 2.551334e+03 
3.672729e+01, 2.539338e+01, 3.835971e+01, 2.106806e+03 
3.898747e+01, 1.954885e+01, 3.807912e+01, 3.360760e+03 
4.188344e+01, 7.716713e+01, 3.795952e+01, 2.249542e+03 
5.190722e+01, 5.476884e+01, 3.815561e+01, 2.116202e+03 
6.246594e+01, 1.660628e+01, 3.838700e+01, 3.509922e+03 
7.670575e+01, 6.583768e+01, 3.778478e+01, 3.023898e+03 
8.434090e+01, 1.847281e+01, 3.789561e+01, 6.626504e+03 
8.311812e+01, 9.630808e+01, 3.771227e+01, 5.158876e+03 
8.558872e+01, 1.714931e+01, 3.778754e+01, 8.631806e+03 
9.546583e+01, 7.154186e+01, 3.922035e+01, 2.232910e+03 
7.487499e+00, 1.165306e+01, 3.839786e+01, 2.126704e+03 
8.004871e+00, 7.089018e+01, 3.869765e+01, 2.567163e+03 
