#x[px], y[px], z[px], A
8.755642e+01, 3.423905e+01, 2.717571e+00, 3.852919e+04 
7.407939e+01, 9.158921e+01, 7.532609e+00, -2.043865e+02 
4.784420e+01, 9.255744e+01, 8.800513e+00, 7.589575e+03 
8.068549e+01, 9.506360e+01, 9.119269e+00, 6.195732e+03 
7.560306e+01, 6.844092e+01, 1.765099e+01, 2.794988e+04 
6.872550e+01, 8.727621e+01, 1.848496e+01, 6.624466e+02 
6.076279e+01, 2.807782e+01, 2.094044e+01, 8.722362e+03 
5.274993e+01, 3.231663e+01, 2.359140e+01, 1.150262e+04 
5.842532e+01, 2.140396e+01, 2.308700e+01, 6.043751e+03 
7.826757e+01, 5.746187e+01, 2.601578e+01, 2.448020e+04 
5.447699e+01, 3.440149e+01, 2.692811e+01, 1.285749e+04 
7.447675e+01, 9.436846e+01, 2.879369e+01, 1.418189e+04 
2.124902e+01, 5.730641e+01, 3.393013e+01, 5.263036e+03 
5.167623e+01, 1.929333e+01, 3.680074e+01, -4.558707e+02 
6.503501e+01, 7.809425e+01, 3.610120e+01, 4.957917e+04 
2.346636e+01, 3.641149e+01, 3.734434e+01, 7.756296e+03 
1.992434e+01, 5.532472e+00, 4.033101e+01, 1.093165e+04 
6.205635e+01, 9.409402e+01, 4.133577e+01, 2.418603e+04 
6.845189e+01, 8.572839e+01, 4.439844e+01, 1.723995e+04 
7.372440e+01, 9.418063e+01, 4.523177e+01, 1.728086e+04 
8.213877e+01, 6.663982e+01, 4.521594e+01, 2.812310e+04 
4.956991e+01, 2.528198e+01, 4.597357e+01, 2.543644e+03 
6.266470e+01, 7.962134e+01, 4.570164e+01, 2.069149e+04 
1.479115e+01, 5.571533e+01, 4.800521e+01, -2.525720e+02 
1.085363e+01, 3.656557e+01, 4.881183e+01, 1.001145e+04 
3.670431e+01, 9.699127e+01, 5.116741e+01, 8.592648e+03 
8.407047e+01, 6.010124e+01, 5.220360e+01, 1.463098e+04 
5.651122e+01, 8.121700e+01, 5.246035e+01, 1.657261e+04 
2.156720e+01, 2.053835e+01, 5.443453e+01, 1.927769e+04 
8.039953e+01, 1.079996e+01, 5.445927e+01, 7.680972e+03 
3.175479e+01, 8.739182e+00, 5.771483e+01, 1.375309e+04 
3.720449e+01, 2.267814e+01, 6.055645e+01, 1.521234e+04 
1.115272e+01, 2.175312e+01, 6.246652e+01, 1.077956e+04 
6.288997e+00, 1.089967e+01, 6.321738e+01, 3.611169e+03 
1.636948e+01, 2.748399e+01, 6.317111e+01, 2.288196e+04 
2.078462e+01, 5.191734e+01, 6.336190e+01, 8.055337e+03 
