#x[px], y[px], z[px], A
8.182684e+01, 5.411181e+01, 3.065645e+00, 1.484189e+04 
8.196476e+01, 7.686399e+01, 2.862944e+00, 7.970298e+03 
8.603585e+01, 4.997669e+01, 4.174953e+00, 5.810372e+03 
8.739958e+01, 3.496968e+01, 4.633305e+00, 1.447275e+04 
7.894242e+01, 6.729231e+01, 6.601379e+00, 1.324337e+04 
7.969523e+01, 8.069641e+01, 8.469358e+00, 6.287603e+03 
7.960547e+01, 9.359981e+01, 8.440604e+00, 1.474564e+04 
7.303936e+01, 9.020034e+01, 9.972369e+00, 5.946815e+03 
5.913559e+01, 9.614890e+01, 1.265879e+01, 8.493147e+03 
6.354158e+01, 6.979529e+01, 1.237038e+01, 6.058735e+03 
7.631534e+01, 8.128891e+01, 1.164277e+01, 9.834802e+03 
5.449808e+01, 9.600321e+01, 1.344690e+01, 1.127159e+04 
7.549285e+01, 6.987223e+01, 1.801855e+01, 1.690398e+04 
5.745336e+01, 2.485589e+01, 2.006976e+01, 8.407401e+03 
6.004967e+01, 2.671090e+01, 2.045759e+01, 1.098817e+04 
6.896026e+01, 8.535700e+01, 2.030214e+01, 1.281817e+04 
7.755321e+01, 4.642143e+01, 2.072885e+01, 8.111194e+03 
5.596156e+01, 3.257709e+01, 2.206335e+01, 1.988826e+04 
5.267143e+01, 1.475405e+01, 2.369312e+01, 9.290070e+03 
3.991683e+01, 2.854203e+00, 2.379303e+01, 5.375977e+03 
4.802031e+01, 9.491489e+01, 2.467210e+01, 8.771129e+03 
5.697207e+01, 7.589090e+01, 2.565811e+01, 5.641571e+03 
7.886324e+01, 1.171287e+01, 2.664645e+01, 5.125754e+03 
4.572653e+01, 6.860631e+01, 2.857642e+01, 5.452532e+03 
7.342275e+01, 9.658852e+01, 2.853706e+01, 1.056346e+04 
7.800177e+01, 2.872558e+01, 2.848620e+01, 1.746630e+04 
7.876989e+01, 5.843200e+01, 2.784299e+01, 7.070882e+03 
5.200432e+01, 6.973463e+01, 2.955663e+01, 6.938139e+03 
5.780720e+01, 3.836032e+01, 2.891856e+01, 8.018530e+03 
6.892402e+01, 9.166912e+01, 3.024676e+01, 7.913820e+03 
7.248881e+01, 8.526652e+01, 2.923517e+01, 1.050580e+04 
6.673604e+01, 9.150707e+01, 2.996583e+01, 1.332058e+04 
5.045231e+01, 2.994049e+01, 3.029519e+01, 8.254931e+03 
5.125133e+01, 3.750550e+01, 3.178203e+01, 7.419320e+03 
5.301085e+01, 8.621150e+01, 3.102465e+01, 6.894888e+03 
6.083484e+01, 8.419868e+01, 3.155211e+01, 5.756282e+03 
3.693078e+01, 4.556649e+01, 3.375370e+01, 1.201723e+04 
2.086149e+01, 6.042659e+01, 3.561658e+01, 5.361101e+03 
3.402263e+01, 5.540268e+01, 3.496594e+01, 5.745362e+03 
9.757001e+01, 9.818047e+01, 3.473007e+01, 7.632082e+03 
4.701923e+01, 2.148055e+01, 3.669119e+01, 5.277134e+03 
5.499717e+01, 1.522371e+01, 3.623407e+01, 5.654426e+03 
7.559575e+01, 5.440223e+01, 3.605748e+01, 7.751740e+03 
9.617095e+01, 9.246138e+01, 3.493396e+01, 5.508302e+03 
2.206861e+01, 3.752256e+01, 3.739865e+01, 9.109110e+03 
2.741309e+01, 4.689485e+01, 3.783859e+01, 5.836719e+03 
8.192876e+01, 4.966275e+01, 3.776899e+01, 5.107456e+03 
1.866595e+01, 4.550542e+01, 3.805110e+01, 5.181895e+03 
6.184296e+01, 1.913608e+01, 3.768725e+01, 9.509856e+03 
7.259328e+01, 6.349060e+01, 3.657040e+01, 5.075344e+03 
1.358594e+01, 4.598934e+01, 3.856214e+01, 9.309864e+03 
1.583103e+01, 1.133466e+01, 3.889046e+01, 7.468710e+03 
1.815789e+01, 1.256921e+01, 3.814505e+01, 5.063192e+03 
6.113853e+01, 5.327649e+01, 3.947943e+01, 5.199857e+03 
6.555570e+01, 7.873769e+01, 3.816976e+01, 2.156832e+04 
7.220150e+01, 4.603340e+01, 3.875559e+01, 1.572752e+04 
8.412714e+01, 1.990226e+01, 3.856221e+01, 1.025196e+04 
9.349029e+01, 8.195895e+01, 3.821665e+01, 6.109694e+03 
5.168495e+01, 8.555437e+00, 3.981075e+01, 1.087533e+04 
5.810590e+01, 9.004814e+01, 4.011163e+01, 1.272648e+04 
8.632154e+00, 4.225068e+01, 4.091906e+01, 6.320739e+03 
4.969678e+01, 7.032417e+01, 4.120046e+01, 6.007819e+03 
5.850407e+01, 7.461793e+01, 3.995600e+01, 6.067788e+03 
7.551631e+01, 6.813089e+01, 4.036086e+01, 6.685951e+03 
1.632399e+01, 4.742678e+00, 4.145271e+01, 5.084984e+03 
6.086793e+01, 8.136663e+01, 4.335641e+01, 1.141411e+04 
6.058215e+01, 9.359718e+01, 4.320670e+01, 1.322059e+04 
8.274210e+01, 6.798210e+01, 4.295874e+01, 2.189990e+04 
4.942334e+01, 1.996258e+01, 4.426158e+01, 1.231543e+04 
7.756110e+01, 9.496319e+00, 4.403342e+01, 1.312035e+04 
