#x[px], y[px], z[px], A
2.348641e+02, 4.533518e+02, 3.651348e+00, 5.052040e+03 
2.471374e+02, 3.593342e+02, 3.205281e+00, 5.585630e+03 
2.660227e+02, 3.361973e+02, 3.956500e+00, 5.312937e+03 
2.672294e+02, 5.949515e+02, 3.131532e+00, 5.039107e+03 
2.762848e+02, 3.288165e+02, 3.830756e+00, 6.097239e+03 
3.140698e+02, 4.938112e+02, 3.843931e+00, 5.166236e+03 
3.490795e+02, 3.672868e+02, 3.489559e+00, 8.536096e+03 
5.023391e+02, 1.472046e+02, 3.140824e+00, 5.213224e+03 
5.452388e+02, 3.817442e+02, 3.425755e+00, 5.084583e+03 
1.309988e+01, 4.324124e+02, 3.761477e+00, 6.334262e+03 
9.494848e+01, 4.314074e+02, 4.915302e+00, 5.082623e+03 
1.559993e+02, 3.650385e+02, 4.338362e+00, 5.105607e+03 
1.722016e+02, 4.514715e+02, 3.828906e+00, 5.395699e+03 
2.148402e+02, 3.260463e+02, 4.357669e+00, 6.636601e+03 
2.215036e+02, 3.311305e+02, 4.468157e+00, 5.151432e+03 
2.346985e+02, 3.649733e+02, 4.452990e+00, 8.226534e+03 
2.352917e+02, 3.948004e+02, 4.652091e+00, 5.007394e+03 
2.440087e+02, 3.087902e+02, 4.512894e+00, 6.344749e+03 
2.795727e+02, 3.901531e+02, 4.557145e+00, 5.812645e+03 
2.853256e+02, 2.227596e+02, 4.202916e+00, 5.092879e+03 
2.842767e+02, 3.508418e+02, 4.774843e+00, 5.431037e+03 
2.953759e+02, 2.289476e+02, 4.417719e+00, 5.344856e+03 
3.345882e+02, 3.667677e+02, 4.645531e+00, 6.909389e+03 
3.565810e+02, 3.562269e+02, 3.967337e+00, 5.004662e+03 
3.598038e+02, 4.319019e+02, 4.290956e+00, 5.745271e+03 
3.703359e+02, 4.129672e+02, 4.198381e+00, 6.204994e+03 
3.774391e+02, 1.258740e+02, 4.495371e+00, 5.163418e+03 
4.085924e+02, 4.283392e+02, 3.809201e+00, 5.913707e+03 
4.163260e+02, 4.934663e+02, 4.031059e+00, 5.455151e+03 
4.897168e+02, 2.769452e+02, 4.101182e+00, 5.807223e+03 
5.026300e+02, 4.245945e+02, 4.382376e+00, 5.105603e+03 
5.814780e+02, 2.429626e+02, 4.270808e+00, 5.727165e+03 
1.686181e+02, 3.583079e+02, 5.073724e+00, 5.842516e+03 
2.195830e+02, 3.855935e+02, 5.218214e+00, 5.002473e+03 
2.459412e+02, 3.082832e+02, 4.531028e+00, 5.772287e+03 
2.495308e+02, 3.682788e+02, 5.358234e+00, 5.237226e+03 
3.479740e+02, 3.603463e+02, 4.908028e+00, 5.125205e+03 
3.521635e+02, 4.164851e+02, 6.379045e+00, 5.369855e+03 
3.592176e+02, 3.942856e+02, 4.922640e+00, 5.329797e+03 
3.698517e+02, 3.086662e+02, 4.389740e+00, 5.856688e+03 
3.962526e+02, 4.131515e+02, 5.279631e+00, 5.161122e+03 
4.240692e+02, 3.546585e+02, 4.701052e+00, 5.155255e+03 
4.408509e+02, 4.258533e+02, 5.104542e+00, 5.240334e+03 
5.272342e+02, 4.555563e+02, 5.547686e+00, 5.197363e+03 
5.556179e+02, 4.040075e+02, 4.620055e+00, 5.651148e+03 
