#x[px], y[px], z[px], A
8.417166e+00, 7.062596e+00, 2.216723e+00, 2.917641e+03 
6.414345e+01, 6.484922e+01, 3.077349e+00, 2.517082e+03 
6.479238e+01, 8.364762e+01, 3.038074e+00, 2.689814e+03 
7.230821e+01, 6.746181e+01, 2.806878e+00, 5.323100e+03 
8.572144e+01, 8.639526e+01, 2.769016e+00, 8.788503e+03 
8.882008e+01, 4.164914e+01, 2.638686e+00, 2.382610e+04 
5.949853e+00, 9.772158e+01, 2.967101e+00, 6.703485e+03 
4.226172e+01, 5.753067e+00, 2.840761e+00, 2.224331e+03 
6.867701e+01, 8.100951e+01, 3.049987e+00, 2.023668e+03 
7.890265e+01, 1.333256e+01, 3.887262e+00, 2.416025e+03 
9.537014e+01, 1.726573e+01, 3.642533e+00, 4.465612e+03 
8.715721e+01, 9.115320e+01, 4.873836e+00, 1.759542e+04 
8.861794e+01, 4.695770e+01, 3.825750e+00, 5.673052e+03 
9.509919e+01, 7.848316e+01, 3.630739e+00, 2.152298e+03 
9.427661e+01, 8.553602e+01, 4.212464e+00, 2.304088e+03 
9.739590e+00, 2.695524e+01, 3.444804e+00, 2.155645e+03 
3.506838e+01, 5.406091e+01, 6.997369e+00, 2.046819e+03 
5.831959e+01, 1.501671e+01, 6.013277e+00, 2.372449e+03 
5.926248e+01, 9.033009e+01, 6.156922e+00, 6.331658e+03 
7.114405e+01, 4.639269e+00, 5.703777e+00, 8.052444e+03 
8.020457e+01, 3.672816e+01, 6.117512e+00, 3.103551e+03 
8.629201e+01, 9.779738e+01, 4.435154e+00, 9.896993e+03 
8.992370e+01, 3.304326e+01, 5.707988e+00, 6.059783e+03 
8.339192e+01, 5.092073e+01, 6.818403e+00, 5.368026e+03 
4.766773e+01, 6.689369e+00, 5.823853e+00, 2.004595e+03 
5.351939e+01, 6.802565e+00, 6.468646e+00, 2.264046e+03 
6.575903e+01, 2.256421e+01, 9.414390e+00, 2.892196e+03 
6.833754e+01, 1.449988e+01, 7.257387e+00, 2.134065e+03 
7.346301e+01, 3.691002e+01, 8.835698e+00, 2.057681e+03 
7.394649e+01, 9.717531e+00, 7.453464e+00, 2.336722e+03 
7.703101e+01, 4.561314e+01, 7.868008e+00, 2.104412e+03 
7.707550e+01, 8.298249e+01, 8.722498e+00, 1.917911e+04 
7.808205e+01, 5.034431e+00, 7.454089e+00, 4.622845e+03 
9.491715e+01, 1.931843e+01, 7.366016e+00, 4.493574e+03 
9.716735e+01, 8.970524e+00, 8.242320e+00, 1.056112e+04 
6.819864e+01, 1.134442e+01, 8.633453e+00, 3.224748e+03 
8.365521e+01, 7.732000e+01, 8.778888e+00, 1.423555e+04 
8.620050e+01, 1.579578e+01, 8.790438e+00, 2.016234e+03 
6.608922e+01, 3.307595e+01, 1.069947e+01, 1.366180e+04 
6.639392e+01, 5.458951e+01, 1.009215e+01, 2.703030e+03 
8.666600e+01, 7.373254e+00, 9.763230e+00, 2.490057e+03 
1.977195e+00, 4.177051e+00, 1.088414e+01, 2.917951e+03 
8.115769e+01, 3.297265e+01, 1.044488e+01, 2.934542e+03 
6.060192e+01, 4.381757e+00, 1.122840e+01, 2.138957e+03 
6.051115e+01, 1.721517e+01, 1.108413e+01, 3.939115e+03 
7.083255e+01, 9.536559e+01, 1.131090e+01, 7.482509e+03 
7.987295e+01, 9.845027e+01, 1.228151e+01, 1.889564e+04 
8.263922e+01, 6.047563e+01, 1.179559e+01, 8.577109e+03 
9.222743e+01, 2.567131e+01, 1.146988e+01, 6.846831e+03 
9.236037e+01, 9.700002e+01, 1.268280e+01, 2.133485e+03 
8.922859e+01, 8.237219e+01, 1.346895e+01, 8.372699e+03 
5.601404e+01, 8.509563e+01, 1.462452e+01, 2.260314e+03 
6.198353e+01, 8.220679e+01, 1.430377e+01, 3.039450e+03 
6.322489e+01, 9.468442e+01, 1.322199e+01, 2.293537e+03 
7.382439e+01, 7.566089e+01, 1.632048e+01, 6.222663e+03 
7.618153e+01, 8.683083e+01, 1.394860e+01, 1.909816e+04 
8.125336e+01, 8.956274e+01, 1.419961e+01, 1.463022e+04 
4.952453e+01, 2.918556e+01, 1.546070e+01, 3.754876e+03 
6.143803e+01, 3.229276e+00, 1.475194e+01, 2.382485e+03 
8.238324e+01, 2.772050e+00, 1.462246e+01, 3.416451e+03 
9.404959e+01, 1.715148e+01, 1.331258e+01, 2.236927e+03 
9.193066e+01, 9.589970e+01, 1.531062e+01, 2.430229e+03 
6.708588e+01, 2.796370e+01, 1.704343e+01, 1.571296e+04 
7.489535e+01, 5.260963e+01, 1.707435e+01, 3.979692e+03 
4.337469e+01, 6.406961e+01, 1.788108e+01, 2.084493e+03 
5.946261e+01, 2.956601e+01, 1.769464e+01, 2.096526e+04 
6.224061e+01, 7.678129e+01, 1.846416e+01, 2.727370e+03 
6.486284e+01, 8.625862e+01, 1.764716e+01, 2.194504e+03 
6.608588e+01, 2.413534e+01, 1.821336e+01, 1.156566e+04 
6.600257e+01, 6.884347e+01, 1.819333e+01, 4.967262e+03 
7.642731e+01, 7.642471e+01, 1.835352e+01, 1.553578e+04 
8.671265e+01, 7.453962e+01, 1.853074e+01, 4.136346e+03 
7.809444e+01, 6.668117e+01, 1.937736e+01, 2.882913e+04 
9.349266e+01, 8.381268e+01, 1.831977e+01, 8.408010e+03 
5.612473e+00, 9.860331e+01, 1.942098e+01, 2.821702e+03 
4.649047e+01, 9.656200e+01, 2.113706e+01, 2.305989e+03 
5.421306e+01, 4.028444e+00, 2.045366e+01, 1.450543e+04 
7.267758e+01, 3.176336e+01, 2.064047e+01, 3.531678e+03 
8.316524e+01, 2.504625e+01, 1.964777e+01, 4.626799e+03 
8.445176e+01, 1.582355e+01, 1.951570e+01, 4.664447e+03 
4.910923e+01, 8.772945e+01, 2.180184e+01, 2.116582e+03 
5.846663e+01, 2.279969e+01, 2.157240e+01, 9.909034e+03 
6.620159e+01, 7.249624e+01, 2.095589e+01, 2.170577e+03 
7.172268e+01, 8.110331e+01, 2.030161e+01, 7.342705e+03 
6.910880e+01, 2.296386e+01, 2.122016e+01, 6.817554e+03 
7.780403e+01, 2.116636e+01, 2.241619e+01, 2.013860e+03 
7.959261e+01, 4.432804e+01, 2.153935e+01, 1.105046e+04 
9.411134e+01, 9.145013e+01, 2.235900e+01, 2.086150e+03 
6.575134e+01, 7.556179e+01, 2.264240e+01, 2.248281e+03 
5.076777e+01, 8.076307e+01, 2.461845e+01, 2.826982e+03 
5.905256e+01, 9.121199e+01, 2.421256e+01, 9.865542e+03 
6.045941e+01, 3.173668e+01, 2.213324e+01, 1.151133e+04 
5.909367e+01, 4.596917e+01, 2.547018e+01, 3.336617e+03 
7.041734e+01, 4.709248e+01, 2.476131e+01, 3.314452e+03 
7.288469e+01, 3.060197e+01, 2.246895e+01, 3.309426e+03 
4.042009e+00, 1.186339e+01, 2.543883e+01, 2.097373e+03 
5.835235e+01, 1.283582e+01, 2.488593e+01, 2.198778e+03 
6.566538e+01, 3.418974e+01, 2.562649e+01, 1.142960e+04 
7.153207e+01, 5.514676e+01, 2.564460e+01, 2.032536e+03 
8.880863e+01, 8.380983e+00, 2.462237e+01, 8.365378e+03 
6.335609e+00, 3.160051e+01, 2.578134e+01, 2.064645e+03 
4.388851e+01, 8.617186e+01, 2.605211e+01, 2.351491e+03 
6.032524e+01, 6.064897e+01, 2.602174e+01, 2.847298e+03 
8.092402e+01, 4.865462e+01, 2.634405e+01, 6.554660e+03 
9.536084e+01, 9.155780e+01, 2.761223e+01, 2.003582e+03 
2.450278e+00, 4.631385e+01, 2.737773e+01, 2.038686e+03 
6.607204e+00, 5.867952e+01, 2.893658e+01, 2.030804e+03 
3.887252e+00, 9.315039e+01, 2.897686e+01, 2.115305e+03 
3.660135e+01, 9.741393e+01, 2.780367e+01, 2.300909e+03 
5.258047e+01, 7.509889e+01, 2.864347e+01, 2.869921e+03 
5.315721e+01, 3.327876e+01, 2.859575e+01, 6.622368e+03 
5.373495e+01, 8.301137e+01, 2.844326e+01, 2.173687e+03 
5.615816e+01, 4.821629e+01, 2.811130e+01, 2.571778e+03 
5.897529e+01, 4.414961e+01, 2.834224e+01, 2.191932e+03 
1.001701e+01, 9.156531e+01, 2.960010e+01, 3.505448e+03 
1.913662e+01, 9.990179e+00, 3.116664e+01, 2.539081e+03 
3.374760e+01, 8.945640e+01, 2.998487e+01, 5.640178e+03 
4.577755e+01, 4.010641e+01, 3.061775e+01, 2.229622e+03 
6.106837e+01, 3.980765e+01, 2.894097e+01, 3.071559e+03 
