#x[px], y[px], z[px], A
5.023305e+01, 1.917130e+01, 2.490124e+00, 2.617799e+03 
6.721653e+01, 4.961655e+01, 3.101245e+00, 2.762186e+03 
7.095965e+01, 8.532584e+01, 2.858932e+00, 3.872385e+03 
9.560812e+01, 9.312114e+01, 3.148586e+00, 2.725645e+03 
6.042003e+01, 9.093089e+01, 4.712355e+00, 3.599262e+03 
7.686436e+01, 4.550336e+01, 3.830148e+00, 2.690570e+03 
7.991180e+01, 3.693419e+01, 4.123087e+00, 4.502571e+03 
8.757074e+01, 3.469326e+01, 3.477500e+00, 1.378557e+04 
2.005920e+01, 1.318208e+01, 3.303406e+00, 2.026885e+03 
3.680016e+01, 9.174671e+01, 4.242335e+00, 2.331690e+03 
4.633117e+01, 9.669695e+01, 4.218465e+00, 2.414176e+03 
5.516168e+01, 9.164555e+01, 4.337964e+00, 3.341566e+03 
6.537835e+01, 5.350644e+01, 4.152726e+00, 2.043599e+03 
7.212889e+01, 3.059615e+01, 4.569535e+00, 5.117999e+03 
7.688661e+01, 6.875720e+01, 4.345018e+00, 2.412320e+03 
8.249673e+01, 1.404307e+01, 6.381730e+00, 2.641936e+03 
8.349353e+01, 5.376574e+01, 4.262905e+00, 1.053823e+04 
8.684899e+01, 4.868920e+01, 4.974011e+00, 9.703070e+03 
5.789924e+01, 9.613677e+00, 6.942463e+00, 2.007613e+03 
6.143149e+01, 2.195946e+01, 6.771006e+00, 2.077633e+03 
6.884877e+01, 2.036644e+01, 5.590096e+00, 2.193213e+03 
7.949209e+01, 3.906066e+00, 5.139058e+00, 2.364161e+03 
8.138068e+01, 7.870007e+01, 5.478505e+00, 1.257073e+04 
9.720155e+01, 4.536504e+00, 5.438586e+00, 2.446863e+03 
4.837518e+01, 2.773204e+00, 6.289892e+00, 2.215603e+03 
6.071769e+01, 7.491053e+01, 6.144463e+00, 2.600471e+03 
8.045363e+01, 6.360704e+01, 7.324208e+00, 6.044568e+03 
9.268328e+01, 2.270039e+01, 7.301679e+00, 1.059163e+04 
9.541259e+01, 1.255089e+01, 7.216818e+00, 1.014927e+04 
