#x[px], y[px], z[px], A
8.665036e+01, 3.533948e+01, 2.931694e+00, 1.736887e+04 
8.874314e+01, 2.317445e+01, 7.850548e+00, 1.031626e+04 
7.296522e+01, 7.328168e+01, 1.485483e+01, 1.076401e+04 
7.405657e+01, 7.067247e+01, 1.645898e+01, 1.982800e+04 
5.878718e+01, 3.284955e+01, 1.972979e+01, 1.074883e+04 
5.384808e+01, 3.177343e+01, 2.187827e+01, 1.950289e+04 
5.830454e+01, 2.223268e+01, 2.094307e+01, 1.664504e+04 
5.528033e+01, 9.543279e+01, 2.471499e+01, 1.287124e+04 
7.884903e+01, 1.717740e+01, 2.624614e+01, 1.060591e+04 
5.288273e+01, 3.699895e+01, 2.789260e+01, 1.586786e+04 
7.288662e+01, 9.551060e+01, 2.827894e+01, 1.984687e+04 
7.720230e+01, 2.894912e+01, 2.951755e+01, 1.058829e+04 
6.965648e+01, 8.869809e+01, 3.088095e+01, 1.078456e+04 
6.554950e+01, 8.023002e+01, 3.490282e+01, 2.285239e+04 
7.580941e+01, 5.140852e+01, 3.506072e+01, 1.227941e+04 
2.329199e+01, 4.334230e+01, 3.616424e+01, 1.163138e+04 
8.345630e+01, 1.983099e+01, 3.700007e+01, 1.089265e+04 
9.111683e+00, 4.776439e+01, 3.911110e+01, 1.411869e+04 
6.257549e+01, 9.460122e+01, 4.115834e+01, 1.384308e+04 
5.470469e+01, 9.530437e+01, 4.200863e+01, 1.162986e+04 
7.809093e+01, 3.729277e+01, 4.245370e+01, 1.280627e+04 
6.831135e+01, 8.712015e+01, 4.360667e+01, 1.219114e+04 
7.786643e+01, 2.411673e+00, 4.375230e+01, 1.033476e+04 
5.256849e+01, 2.294222e+01, 4.552794e+01, 2.006143e+04 
6.491630e+01, 7.070918e+01, 4.466257e+01, 1.834084e+04 
1.106308e+01, 3.755229e+01, 4.914620e+01, 1.150831e+04 
6.383571e+01, 8.424470e+01, 4.972128e+01, 1.226487e+04 
6.572851e+01, 9.725091e+01, 4.894503e+01, 1.038218e+04 
7.896752e+01, 1.194609e+01, 5.278967e+01, 1.221029e+04 
2.142292e+01, 2.150500e+01, 5.383305e+01, 1.141829e+04 
6.488896e+00, 2.835853e+01, 5.480829e+01, 1.020907e+04 
3.093065e+01, 4.381524e+00, 5.752099e+01, 1.022379e+04 
3.818020e+01, 1.113884e+01, 5.713616e+01, 1.319050e+04 
3.965093e+01, 2.631274e+01, 5.859742e+01, 1.276411e+04 
4.286243e+01, 7.120919e+01, 5.902591e+01, 1.201213e+04 
5.157891e+00, 1.170237e+01, 6.254157e+01, 1.226037e+04 
4.660280e+01, 2.664640e+01, 6.197562e+01, 1.134319e+04 
9.884756e+00, 2.003983e+01, 6.308753e+01, 1.201278e+04 
