#x[px], y[px], z[px], A
8.736184e+01, 3.478501e+01, 3.225452e+00, 2.819801e+04 
7.792039e+01, 2.516546e+00, 3.232075e+00, 5.300923e+03 
7.861315e+01, 6.669233e+01, 6.391217e+00, 9.039057e+03 
8.604405e+01, 5.015760e+01, 4.670247e+00, -3.887642e+03 
9.383904e+01, 1.293006e+01, 6.375917e+00, 1.238075e+04 
7.951395e+01, 8.144610e+01, 6.755553e+00, 1.065486e+04 
9.252975e+01, 2.566536e+01, 7.426648e+00, 1.111945e+03 
5.355360e+01, 9.595735e+01, 9.517875e+00, 5.445315e+03 
7.506475e+01, 9.282754e+01, 9.114678e+00, -8.913016e+02 
7.566617e+01, 5.508097e+01, 9.685153e+00, 4.326953e+03 
6.652564e+01, 3.846560e+01, 1.077222e+01, 4.024497e+03 
7.602619e+01, 8.122808e+01, 1.158379e+01, 2.038866e+04 
7.222772e+01, 7.248394e+01, 1.494604e+01, 1.301642e+04 
7.744046e+01, 8.687540e+01, 1.559778e+01, -4.228356e+03 
5.560548e+01, 9.716867e+01, 1.658499e+01, 4.235878e+03 
6.105498e+01, 3.593368e+01, 1.880903e+01, -3.260767e+02 
6.958816e+01, 8.830407e+01, 1.945039e+01, 2.101751e+04 
7.326878e+01, 7.128506e+01, 1.808710e+01, 1.172519e+04 
6.261060e+01, 3.102137e+01, 2.071721e+01, 7.459054e+03 
7.695465e+01, 4.520212e+01, 2.104835e+01, 7.468026e+03 
5.418354e+01, 3.541102e+01, 2.217368e+01, 8.422257e+03 
5.911035e+01, 2.134950e+01, 2.378657e+01, 5.402315e+03 
5.892552e+01, 7.788224e+01, 2.458994e+01, -2.951505e+03 
4.902589e+01, 2.769611e+01, 2.449172e+01, 1.364729e+04 
4.980488e+01, 2.346743e+01, 2.491207e+01, 1.494177e+03 
5.156707e+01, 9.648145e+01, 2.502349e+01, 5.817114e+03 
5.504438e+01, 1.613729e+01, 2.576431e+01, 1.006466e+04 
6.269296e+01, 3.202610e+01, 2.535190e+01, 1.396868e+04 
7.817908e+01, 5.813653e+01, 2.667147e+01, 6.199141e+03 
7.824711e+01, 1.457200e+01, 2.753718e+01, 6.443521e+03 
5.599817e+01, 4.010129e+01, 2.796222e+01, 8.860753e+03 
7.388297e+01, 9.520526e+01, 2.877958e+01, 9.454878e+03 
8.837321e+01, 9.776036e+01, 2.887915e+01, 6.288290e+03 
5.499289e+01, 3.137309e+01, 2.871724e+01, 1.790305e+04 
5.940332e+01, 2.903570e+01, 2.805166e+01, -3.401103e+03 
5.926387e+01, 4.210158e+01, 3.015161e+01, -4.441952e+02 
7.981386e+01, 7.232077e+01, 3.032862e+01, -1.900013e+03 
7.791617e+01, 2.938775e+01, 3.026562e+01, 3.987707e+03 
2.812420e+01, 8.748083e+01, 3.350987e+01, 7.927580e+03 
3.496021e+01, 5.250347e+01, 3.387157e+01, 3.680567e+03 
1.387661e+01, 8.792423e+00, 3.574219e+01, 4.275401e+02 
7.230872e+01, 8.694126e+01, 3.498739e+01, -4.904123e+03 
7.564767e+01, 5.199879e+01, 3.538676e+01, 1.227806e+04 
5.131424e+01, 3.477664e+01, 3.474463e+01, 1.278741e+04 
8.535687e+01, 2.107457e+01, 3.697863e+01, 9.003904e+03 
1.002556e+02, 9.534180e+01, 3.526295e+01, 7.969148e+03 
2.063633e+01, 1.272295e+01, 3.647687e+01, 6.383598e+03 
2.129662e+01, 3.970348e+01, 3.757088e+01, 3.233970e+03 
4.735213e+01, 2.131084e+01, 3.719944e+01, 3.870966e+03 
6.520095e+01, 7.834935e+01, 3.714165e+01, 5.514122e+04 
4.883976e+01, 1.681846e+01, 3.796219e+01, -1.978086e+03 
5.316133e+01, 5.031913e+00, 3.793594e+01, 5.998487e+03 
5.604396e+01, 1.232631e+01, 3.748388e+01, 6.624740e+03 
9.447607e+01, 8.276706e+01, 3.784885e+01, 1.841584e+04 
7.042577e+01, 4.857439e+01, 3.843342e+01, 3.969487e+03 
7.959838e+01, 8.604706e+01, 3.929789e+01, 1.524978e+04 
8.452646e+01, 2.066851e+01, 3.835055e+01, 7.631612e+03 
1.190496e+01, 3.113541e+01, 4.063703e+01, 1.076582e+04 
5.428906e+01, 1.143052e+01, 3.878562e+01, 2.871095e+03 
6.072017e+01, 9.481731e+01, 4.055406e+01, 1.474353e+04 
7.905350e+00, 3.833574e+01, 4.187301e+01, 3.275264e+03 
1.351625e+01, 2.258798e+01, 4.075696e+01, -2.979696e+02 
4.355182e+01, 7.049277e+01, 4.115895e+01, 5.789234e+03 
6.124843e+01, 9.482579e+01, 4.178589e+01, 2.292773e+04 
6.547512e+01, 2.021348e+01, 4.127088e+01, -6.322527e+02 
7.143683e+01, 4.579345e+01, 4.062660e+01, 1.820370e+03 
5.636820e+00, 9.662483e+01, 4.264686e+01, 2.293696e+03 
8.037929e+00, 4.737192e+01, 4.368131e+01, 8.141981e+03 
